CAMPUS,C20AD15R,C20AD16R,C20ADC15R,C20ADC16R,C20ADE15R,C20ADE16R,C20ADM15R,C20ADM16R,C20ADS15R,C20ADS16R,C29AD15R,C29AD16R,C29ADC15R,C29ADC16R,C29ADE15R,C29ADE16R,C29ADM15R,C29ADM16R,C29ADS15R,C29ADS16R,C30AD15R,C30AD16R,C30ADC15R,C30ADC16R,C30ADE15R,C30ADE16R,C30ADM15R,C30ADM16R,C30ADS15R,C30ADS16R,C39AD15R,C39AD16R,C39ADC15R,C39ADC16R,C39ADE15R,C39ADE16R,C39ADM15R,C39ADM16R,C39ADS15R,C39ADS16R,C40AD15R,C40AD16R,C40ADC15R,C40ADC16R,C40ADE15R,C40ADE16R,C40ADM15R,C40ADM16R,C40ADS15R,C40ADS16R,C49AD15R,C49AD16R,C49ADC15R,C49ADC16R,C49ADE15R,C49ADE16R,C49ADM15R,C49ADM16R,C49ADS15R,C49ADS16R,CA0AD15R,CA0AD16R,CA0ADC15R,CA0ADC16R,CA0ADE15R,CA0ADE16R,CA0ADM15R,CA0ADM16R,CA0ADS15R,CA0ADS16R,CA9AD15R,CA9AD16R,CA9ADC15R,CA9ADC16R,CA9ADE15R,CA9ADE16R,CA9ADM15R,CA9ADM16R,CA9ADS15R,CA9ADS16R,CB0AD15R,CB0AD16R,CB0ADC15R,CB0ADC16R,CB0ADE15R,CB0ADE16R,CB0ADM15R,CB0ADM16R,CB0ADS15R,CB0ADS16R,CB9AD15R,CB9AD16R,CB9ADC15R,CB9ADC16R,CB9ADE15R,CB9ADE16R,CB9ADM15R,CB9ADM16R,CB9ADS15R,CB9ADS16R,CE0AD15R,CE0AD16R,CE0ADC15R,CE0ADC16R,CE0ADE15R,CE0ADE16R,CE0ADM15R,CE0ADM16R,CE0ADS15R,CE0ADS16R,CE9AD15R,CE9AD16R,CE9ADC15R,CE9ADC16R,CE9ADE15R,CE9ADE16R,CE9ADM15R,CE9ADM16R,CE9ADS15R,CE9ADS16R,CF0AD15R,CF0AD16R,CF0ADC15R,CF0ADC16R,CF0ADE15R,CF0ADE16R,CF0ADM15R,CF0ADM16R,CF0ADS15R,CF0ADS16R,CF9AD15R,CF9AD16R,CF9ADC15R,CF9ADC16R,CF9ADE15R,CF9ADE16R,CF9ADM15R,CF9ADM16R,CF9ADS15R,CF9ADS16R,CH0AD15R,CH0AD16R,CH0ADC15R,CH0ADC16R,CH0ADE15R,CH0ADE16R,CH0ADM15R,CH0ADM16R,CH0ADS15R,CH0ADS16R,CH9AD15R,CH9AD16R,CH9ADC15R,CH9ADC16R,CH9ADE15R,CH9ADE16R,CH9ADM15R,CH9ADM16R,CH9ADS15R,CH9ADS16R,CI0AD15R,CI0AD16R,CI0ADC15R,CI0ADC16R,CI0ADE15R,CI0ADE16R,CI0ADM15R,CI0ADM16R,CI0ADS15R,CI0ADS16R,CI9AD15R,CI9AD16R,CI9ADC15R,CI9ADC16R,CI9ADE15R,CI9ADE16R,CI9ADM15R,CI9ADM16R,CI9ADS15R,CI9ADS16R,CL0AD15R,CL0AD16R,CL0ADC15R,CL0ADC16R,CL0ADE15R,CL0ADE16R,CL0ADM15R,CL0ADM16R,CL0ADS15R,CL0ADS16R,CL9AD15R,CL9AD16R,CL9ADC15R,CL9ADC16R,CL9ADE15R,CL9ADE16R,CL9ADM15R,CL9ADM16R,CL9ADS15R,CL9ADS16R,CM0AD15R,CM0AD16R,CM0ADC15R,CM0ADC16R,CM0ADE15R,CM0ADE16R,CM0ADM15R,CM0ADM16R,CM0ADS15R,CM0ADS16R,CM9AD15R,CM9AD16R,CM9ADC15R,CM9ADC16R,CM9ADE15R,CM9ADE16R,CM9ADM15R,CM9ADM16R,CM9ADS15R,CM9ADS16R,CR0AD15R,CR0AD16R,CR0ADC15R,CR0ADC16R,CR0ADE15R,CR0ADE16R,CR0ADM15R,CR0ADM16R,CR0ADS15R,CR0ADS16R,CR9AD15R,CR9AD16R,CR9ADC15R,CR9ADC16R,CR9ADE15R,CR9ADE16R,CR9ADM15R,CR9ADM16R,CR9ADS15R,CR9ADS16R,CS0AD15R,CS0AD16R,CS0ADC15R,CS0ADC16R,CS0ADE15R,CS0ADE16R,CS0ADM15R,CS0ADM16R,CS0ADS15R,CS0ADS16R,CS9AD15R,CS9AD16R,CS9ADC15R,CS9ADC16R,CS9ADE15R,CS9ADE16R,CS9ADM15R,CS9ADM16R,CS9ADS15R,CS9ADS16R,CW0AD15R,CW0AD16R,CW0ADC15R,CW0ADC16R,CW0ADE15R,CW0ADE16R,CW0ADM15R,CW0ADM16R,CW0ADS15R,CW0ADS16R,CW9AD15R,CW9AD16R,CW9ADC15R,CW9ADC16R,CW9ADE15R,CW9ADE16R,CW9ADM15R,CW9ADM16R,CW9ADS15R,CW9ADS16R
"011901001",64.3,83.3,0,8.3,30.8,58.8,50,70.6,46.2,50,32.4,53.5,0,2.7,12.1,23.8,16.7,28.6,25.7,47.2,100,-1,-1,.,100,-1,100,-1,100,-1,83.3,66.7,-1,0,83.3,33.3,83.3,20,83.3,80,-1,.,.,.,-1,.,-1,.,-1,.,-1,-1,.,-1,-1,-1,-1,-1,-1,.,58.3,64.5,6.3,16.5,32.1,38.3,45.9,54.7,35.1,34.1,33.8,44.8,2.1,6.1,15,17.4,18.8,23.7,22.7,37.3,48.9,40.4,0,16.2,29.5,30.8,36.1,27.7,22.7,14.3,23.8,28.6,0,6.6,11.9,15,12.3,12.9,13.4,19.3,50,53.9,1.4,9,21.7,28,37,40.7,21.3,18.6,24.9,33.1,0.4,3.3,9.8,12.3,13.9,17.2,12.4,21.4,64,68.4,8.6,15.9,38.2,45.3,51.8,58.5,37.9,38.9,39.6,50.2,2.9,6.2,19,21.8,22.8,26.8,26.4,42,49.5,63.3,1.4,14,20,32.4,37.3,48.5,24.9,24.6,27.7,39.1,0.5,5.3,9,14.4,14.5,20.9,16.7,26.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,40,-1,-1,60,20,80,-1,60,-1,14.3,52.2,0,5.9,9.5,34.8,0,10,0,4.3,7.1,19.2,0,1.4,3.6,10.3,0,2.7,1.9,2,52.1,60.7,4,17,25.6,31.4,39.3,51.1,32,29.2,28.2,40.1,1.5,6,11.3,13.6,14.8,21,19,33,44.1,47.4,1.3,7.4,16.6,20.9,34.3,35,13.3,15.4,23,26.7,0.4,2.5,8.9,9.2,14.2,14.4,7.8,15.5,18.6,18.4,0,5.6,4.7,2.2,9.7,10,2.5,0,9.7,8.3,0,1,4,1.6,2.8,2.7,0.8,1,65.2,69.3,10.8,19.5,40.6,43.9,52.2,65.2,43.1,46.3,40.7,53.3,4.1,7,20.3,20.5,22.8,28.6,29.1,49.7
"011901002",68.8,50,7.7,27.3,31.3,25,33.3,50,33.3,25,36.7,41.4,3.7,10.7,16.7,10.3,15.4,18.5,17.2,39.1,-1,100,-1,40,-1,-1,-1,100,-1,60,50,85.7,0,28.6,25,33.3,28.6,71.4,37.5,57.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52.1,51.1,11.9,12.8,21,16.1,44,46.6,25.5,27.9,27.2,36.3,4.5,5,8.9,7.1,17.3,19.3,14.6,29.7,51.9,48.6,20,0,20.8,6.7,33.3,40.6,23.1,17.6,28.1,31.1,8,0,8.3,3.6,11.3,22.4,15,17,46,46.1,9.8,7,15.5,10.8,37.9,40.2,17.4,20.3,22,29.2,3.3,2.4,6.1,4.4,14,15.4,9.1,21,60.5,58,13.1,15,27.3,23.1,49.4,48.9,28.8,33.9,33,42.7,5.2,5.8,11.9,10.2,20.5,21.3,17.2,35.9,45.7,46.6,10.1,10.3,13.9,12.7,39.4,39.3,18.3,22.8,22.2,30.3,3.5,3.7,5.3,5.3,14.3,15.3,9.8,22.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,16.7,0,0,0,0,0,0,0,16.7,25,17,0,2.9,2,0,17.9,8.6,5.5,2.2,9.8,7.1,0,0.7,0.7,0,5,2,1.9,1.9,43.8,44.2,10.7,10.7,14.6,9.4,38.2,44.1,22.2,21.5,21.8,30,3.9,4.1,6,4.1,14.2,17.3,12.2,23.5,51.3,32.2,11.7,5.2,20.9,5.7,45.2,28.1,25.3,9.1,27.8,18.4,5.4,1.7,10.8,2.2,21.8,9.3,13.5,10.7,12.3,10.3,0,0,0,0,2.3,5.6,6.7,0,5.4,5.1,0,0,0,0,0.8,1.8,2.8,0,62.4,62.1,15,19.7,32.6,25.3,54.7,64.7,38.2,42.3,38.6,52.9,6.7,8.5,16.7,12.1,26,29.3,26,48.2
"011901005",.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.3,99,0,0,69,96.2,0,1,100,100,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,97.7,98.2,0,0,65.1,96.3,0,1.8,100,100,.,.,.,.,.,.,.,.,.,.,100,98.3,0,0,69.7,93.1,0,0,100,100,.,.,.,.,.,.,.,.,.,.,97.4,98.6,0,0,64.1,95.7,0,0,100,100,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,83.3,-1,-1,-1,80,-1,0,-1,-1,.,.,.,.,.,.,.,.,.,.,96,100,0,0,68,100,0,2.2,100,100,.,.,.,.,.,.,.,.,.,.,96.6,96.8,0,0,48.3,90,0,0,100,100,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,100,100,0,0,73.3,100,0,3.6,100,100
"011901022",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.3,3.6,0,0,0,0,5.2,6.1,0,0,2.9,3.3,0,0,0,0,5.2,5.9,0,0,11.1,0,0,0,0,0,14.3,0,0,0,7.7,0,0,0,0,0,14.3,0,0,0,1.2,2.9,0,0,0,0,2,4.3,0,0,1.1,2.7,0,0,0,0,2,4.2,0,0,4.4,6.2,0,0,0,0,6.1,10.3,0,0,3.9,5.8,0,0,0,0,6.1,10,0,0,0,2.5,0,0,0,0,0,3.8,0,0,0,2.3,0,0,0,0,0,3.6,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.6,1.4,0,0,0,0,4.5,2.3,0,0,2.3,1.2,0,0,0,0,4.5,2.2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,.,-1,.,.,.,-1,8.6,6,0,0,0,0,13,13,0,0,7.9,5.9,0,0,0,0,13,13,0,0
"011901033",.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,0,.,0,.,28.6,.,0,.,4.8,.,0,.,0,.,5.1,.,0,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,3.3,.,0,.,0,.,3.6,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,9.1,.,0,.,0,.,9.1,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,.,0,.,0,.,0,.,0,.,20,.,-1,.,-1,.,-1,.,-1,.,3.2,.,0,.,0,.,3.6,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,.,0,.,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,0,.,0,.,0,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,22.2,.,0,.,0,.,28.6,.,0
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
