CAMPUS,C29AD15R,C29ADC15R,C29ADE15R,C29ADM15R,C29ADS15R,C39AD15R,C39ADC15R,C39ADE15R,C39ADM15R,C39ADS15R,C49AD15R,C49ADC15R,C49ADE15R,C49ADM15R,C49ADS15R,CA9AD15R,CA9ADC15R,CA9ADE15R,CA9ADM15R,CA9ADS15R,CB9AD15R,CB9ADC15R,CB9ADE15R,CB9ADM15R,CB9ADS15R,CE9AD15R,CE9ADC15R,CE9ADE15R,CE9ADM15R,CE9ADS15R,CF9AD15R,CF9ADC15R,CF9ADE15R,CF9ADM15R,CF9ADS15R,CH9AD15R,CH9ADC15R,CH9ADE15R,CH9ADM15R,CH9ADS15R,CI9AD15R,CI9ADC15R,CI9ADE15R,CI9ADM15R,CI9ADS15R,CL9AD15R,CL9ADC15R,CL9ADE15R,CL9ADM15R,CL9ADS15R,CM9AD15R,CM9ADC15R,CM9ADE15R,CM9ADM15R,CM9ADS15R,CR9AD15R,CR9ADC15R,CR9ADE15R,CR9ADM15R,CR9ADS15R,CS9AD15R,CS9ADC15R,CS9ADE15R,CS9ADM15R,CS9ADS15R,CW9AD15R,CW9ADC15R,CW9ADE15R,CW9ADM15R,CW9ADS15R
"011901001",32.4,0,12.1,16.7,25.7,83.3,-1,83.3,83.3,83.3,-1,.,-1,-1,-1,33.8,2.1,15,18.8,22.7,23.8,0,11.9,12.3,13.4,24.9,0.4,9.8,13.9,12.4,39.6,2.9,19,22.8,26.4,27.7,0.5,9,14.5,16.7,80,-1,60,80,60,7.1,0,3.6,0,1.9,28.2,1.5,11.3,14.8,19,23,0.4,8.9,14.2,7.8,9.7,0,4,2.8,0.8,40.7,4.1,20.3,22.8,29.1
"011901002",36.7,3.7,16.7,15.4,17.2,50,0,25,28.6,37.5,.,.,.,.,.,27.2,4.5,8.9,17.3,14.6,28.1,8,8.3,11.3,15,22,3.3,6.1,14,9.1,33,5.2,11.9,20.5,17.2,22.2,3.5,5.3,14.3,9.8,0,0,0,0,0,9.8,0,0.7,5,1.9,21.8,3.9,6,14.2,12.2,27.8,5.4,10.8,21.8,13.5,5.4,0,0,0.8,2.8,38.6,6.7,16.7,26,26
"011901005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.3,0,69,0,100,-1,-1,-1,-1,-1,97.7,0,65.1,0,100,100,0,69.7,0,100,97.4,0,64.1,0,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,0,68,0,100,96.6,0,48.3,0,100,-1,-1,-1,-1,-1,100,0,73.3,0,100
"011901022",0,-1,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,2.9,0,0,5.2,0,7.7,0,0,14.3,0,1.1,0,0,2,0,3.9,0,0,6.1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,2.3,0,0,4.5,0,-1,-1,-1,-1,-1,-1,-1,.,.,.,7.9,0,0,13,0
"011901033",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
