CAMPUS,C29AD15R,C39AD15R,C49AD15R,CA9AD15R,CB9AD15R,CE9AD15R,CF9AD15R,CH9AD15R,CI9AD15R,CL9AD15R,CM9AD15R,CR9AD15R,CS9AD15R,CW9AD15R
"011901001",32.4,83.3,-1,33.8,23.8,24.9,39.6,27.7,80,7.1,28.2,23,9.7,40.7
"011901002",36.7,50,.,27.2,28.1,22,33,22.2,0,9.8,21.8,27.8,5.4,38.6
"011901005",.,.,.,98.3,-1,97.7,100,97.4,-1,-1,96,96.6,-1,100
"011901022",0,-1,.,2.9,7.7,1.1,3.9,0,.,.,2.3,-1,-1,7.9
"011901033",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901107",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901109",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901110",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902001",27.3,-1,-1,31,24.1,25.2,36.1,26.7,.,7.1,26.4,17.7,4.5,40.8
"011902004",-1,.,.,11.6,0,10.7,14.3,16.7,.,-1,9.1,11.1,-1,11.8
"011902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904002",12.5,.,-1,22.5,26.1,16.1,24.8,17.6,-1,0,20.2,10.1,8.9,24.1
"011904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.
