,CAMPUS,TWO_PLUS,ASIAN,PAC_ISL,ALL,BLACK,ECON_DISADV,FEMALE,HISPANIC,AMER_IND,LEP,MALE,AT_RISK,SPEC_ED,WHITE,YR,School Name,District Name
0,011901001,53.5,66.7,1,44.8,28.6,33.1,50.2,39.1,40,19.2,40.1,26.7,8.3,53.3,2016,BASTROP H S,BASTROP ISD
1,011901001,32.4,83.3,1,33.8,23.8,24.9,39.6,27.7,80,7.1,28.2,23,9.7,40.7,2015,BASTROP H S,BASTROP ISD
2,011901001,37.5,83.3,1,33.8,28.9,24.3,36.1,27.2,40,17.6,31.6,24.4,9.4,39.1,2014,BASTROP H S,BASTROP ISD
3,011901001,33.3,50,1,27.6,22.1,19.3,29.4,20.7,0,5.7,25.9,16.4,5.1,33.7,2013,BASTROP H S,BASTROP ISD
4,011901001,27.3,40,1,31.3,17,25,32.7,29,18.2,4,29.9,20.3,2.6,36.1,2012,BASTROP H S,BASTROP ISD
5,011901002,41.4,85.7,,36.3,31.1,29.2,42.7,30.3,16.7,7.1,30,18.4,5.1,52.9,2016,CEDAR CREEK H S,BASTROP ISD
6,011901002,36.7,50,,27.2,28.1,22,33,22.2,0,9.8,21.8,27.8,5.4,38.6,2015,CEDAR CREEK H S,BASTROP ISD
7,011901002,36.7,30,,20.8,20,15.3,23.9,15.1,16.7,5.2,17.9,19.8,5.3,31.1,2014,CEDAR CREEK H S,BASTROP ISD
8,011901002,25.9,42.9,1,24,21.7,20.5,27.1,20.9,1,6,21.5,19.4,4,29.5,2013,CEDAR CREEK H S,BASTROP ISD
9,011901002,33.3,33.3,1,22.8,29.3,16.6,27.5,16.9,1,3.5,18.9,12.2,2.9,32,2012,CEDAR CREEK H S,BASTROP ISD
10,011901005,1,1,,99,1,98.2,98.3,98.6,,83.3,100,96.8,1,100,2016,COLORADO RIVER COLLEGIATE ACADEMY,BASTROP ISD
